Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
01/11/24,26.63,37708300,,27.94,26.28,30.00,26.59,26.63,,
01/12/24,24.97,22991870,-6.23,26.40,24.75,26.41,24.94,24.97,-6.23,-6.23
01/16/24,24.72,15078210,-1.00,24.70,24.04,24.86,24.62,24.72,-1.00,-7.17
01/17/24,24.41,13964500,-1.25,24.35,24.15,24.56,24.31,24.41,-1.25,-8.34
01/18/24,23.34,17823190,-4.38,24.35,23.20,24.47,23.32,23.34,-4.38,-12.35
01/19/24,23.80,18284070,1.97,23.49,23.03,24.12,23.87,23.80,1.97,-10.63
01/22/24,22.95,17222070,-3.57,23.20,22.50,23.33,22.86,22.95,-3.57,-13.82
01/23/24,22.32,13431660,-2.75,22.19,22.02,22.63,22.36,22.32,-2.75,-16.18
01/24/24,22.60,11929150,1.25,22.82,22.57,22.97,22.66,22.60,1.25,-15.13
01/25/24,22.76,8954870,0.71,22.86,22.58,22.90,22.69,22.76,0.71,-14.53
01/26/24,23.99,20273850,5.40,23.52,23.48,24.12,23.94,23.99,5.40,-9.91
01/29/24,24.67,19012900,2.83,23.99,23.88,24.77,24.55,24.67,2.83,-7.36
01/30/24,24.88,15541320,0.85,24.84,24.69,24.98,24.85,24.88,0.85,-6.57
01/31/24,24.30,13369340,-2.33,24.38,24.26,25.00,24.41,24.30,-2.33,-8.75
02/01/24,24.54,12411410,0.99,24.21,24.19,24.72,24.53,24.54,0.99,-7.85
02/02/24,24.50,10329020,-0.16,24.39,24.38,24.83,24.50,24.50,-0.16,-8.00
02/05/24,24.19,6807517,-1.27,24.75,24.13,24.79,24.18,24.19,-1.27,-9.16
02/06/24,24.60,7352898,1.69,24.47,24.45,24.77,24.58,24.60,1.69,-7.62
02/07/24,25.22,13952230,2.52,24.66,24.49,25.29,25.09,25.22,2.52,-5.29
02/08/24,26.03,18568460,3.21,25.76,25.64,26.08,25.90,26.03,3.21,-2.25
02/09/24,27.15,20742780,4.30,26.85,26.75,27.57,27.13,27.15,4.30,1.95
02/12/24,28.66,35138566,5.56,27.53,27.52,28.86,28.48,28.66,5.56,7.62
02/13/24,28.22,20913600,-1.54,27.97,27.62,28.28,28.08,28.22,-1.54,5.97
02/14/24,29.55,28134450,4.71,29.58,29.24,29.83,29.51,29.55,4.71,10.97
02/15/24,29.52,22844690,-0.10,30.00,29.48,30.23,29.54,29.52,-0.10,10.85
02/16/24,29.62,15976530,0.34,29.86,29.49,29.97,29.53,29.62,0.34,11.23
02/20/24,29.67,21166420,0.17,29.88,28.97,29.92,29.68,29.67,0.17,11.42
02/21/24,29.08,17767560,-1.99,29.06,28.91,29.35,29.07,29.08,-1.99,9.20
02/22/24,29.72,15468400,2.20,29.17,29.14,29.76,29.50,29.72,2.20,11.60
02/23/24,29.16,13285820,-1.88,29.26,28.91,29.31,29.09,29.16,-1.88,9.50
02/26/24,31.12,42806434,6.72,29.34,29.33,31.43,31.07,31.12,6.72,16.86
02/27/24,32.59,42006450,4.72,32.53,32.17,32.96,32.51,32.59,4.72,22.38
02/28/24,34.45,96833375,5.71,34.41,33.80,36.87,34.39,34.45,5.71,29.37
02/29/24,35.42,53837490,2.82,36.21,34.47,36.38,35.36,35.42,2.82,33.01
03/01/24,35.99,35133566,1.61,35.65,34.93,36.17,35.65,35.99,1.61,35.15
03/04/24,38.65,63439008,7.39,37.42,37.40,38.89,38.47,38.65,7.39,45.14
03/05/24,35.32,107143600,-8.62,38.67,34.03,39.69,35.57,35.32,-8.62,32.63
03/06/24,38.29,45934350,8.41,38.16,37.30,38.60,38.27,38.29,8.41,43.79
03/07/24,38.63,41620140,0.89,38.50,38.08,38.94,38.64,38.63,0.89,45.06
03/08/24,39.55,89933984,2.38,38.94,37.77,40.20,39.47,39.55,2.38,48.52
03/11/24,41.12,74430440,3.97,41.31,40.74,41.65,41.27,41.12,3.97,54.41
03/12/24,40.73,98022760,-0.95,41.28,39.21,41.80,40.74,40.73,-0.95,52.95
03/13/24,41.95,59347008,3.00,41.52,40.93,41.99,41.66,41.95,3.00,57.53
03/14/24,39.51,99521130,-5.82,41.46,39.01,41.53,39.61,39.51,-5.82,48.37
03/15/24,39.39,68768290,-0.30,38.69,38.44,40.32,39.72,39.39,-0.30,47.92
03/18/24,38.14,53201560,-3.17,38.81,37.93,39.13,38.26,38.14,-3.17,43.22
03/19/24,36.70,69685190,-3.78,36.35,35.49,37.53,36.88,36.70,-3.78,37.81
03/20/24,37.55,71309270,2.32,36.18,35.41,37.69,37.34,37.55,2.32,41.01
