Date,BTC-USD_open,BTC-USD_high,BTC-USD_low,BTC-USD_close,BTC-USD_volume,BTC_REWARD,COST_TO_MINE,ETH-USD_open,ETH-USD_high,ETH-USD_low,ETH-USD_close,ETH-USD_volume
2017-11-01,6440.970215,6767.310059,6377.879883,6767.310059,2870320128.0,12.5,2318.8721,314.6900024,319.1530151,298.5130005,307.9079895,1613479936.0
2017-11-02,6777.77002,7367.330078,6758.720215,7078.5,4653770240.0,12.5,2372.8628,314.6900024,319.1530151,298.5130005,307.9079895,1613479936.0
2017-11-03,7087.529785,7461.290039,7002.939941,7207.759766,3369860096.0,12.5,2417.952,314.6900024,319.1530151,298.5130005,307.9079895,1613479936.0
2017-11-04,7164.47998,7492.859863,7031.279785,7379.950195,2483800064.0,12.5,2461.1774,314.6900024,319.1530151,298.5130005,307.9079895,1613479936.0
2017-11-05,7404.52002,7617.47998,7333.189941,7407.410156,2380410112.0,12.5,2407.5585,314.6900024,319.1530151,298.5130005,307.9079895,1613479936.0
2017-11-06,7403.220215,7445.77002,7007.310059,7022.759766,3111899904.0,12.5,2312.373,314.6900024,319.1530151,298.5130005,307.9079895,1613479936.0
2017-11-07,7023.100098,7253.319824,7023.100098,7144.379883,2326340096.0,12.5,2348.0043,314.6900024,319.1530151,298.5130005,307.9079895,1613479936.0
2017-11-08,7141.379883,7776.419922,7114.02002,7459.689941,4602200064.0,12.5,2376.9773,314.6900024,319.1530151,298.5130005,307.9079895,1613479936.0
2017-11-09,7446.830078,7446.830078,7101.52002,7143.580078,3226249984.0,12.5,2331.7224,314.6900024,319.1530151,298.5130005,307.9079895,1613479936.0
2017-11-10,7173.72998,7312.0,6436.870117,6618.140137,5208249856.0,12.5,2356.4463,314.6900024,319.1530151,298.5130005,307.9079895,1613479936.0
2017-11-11,6618.609863,6873.149902,6204.220215,6357.600098,4908680192.0,12.5,2350.6244,314.6900024,319.1530151,298.5130005,307.9079895,1613479936.0
2017-11-12,6295.450195,6625.049805,5519.009766,5950.069824,8957349888.0,12.5,2346.0794,314.6900024,319.1530151,298.5130005,307.9079895,1613479936.0
2017-11-13,5938.25,6811.189941,5844.290039,6559.490234,6263249920.0,12.5,2436.4234,307.0249939,328.4150085,307.0249939,316.7160034,1041889984.0
2017-11-14,6561.47998,6764.97998,6461.75,6635.75,3197110016.0,12.5,2552.5769,316.7630005,340.177002,316.7630005,337.631012,1069680000.0
2017-11-15,6634.759766,7342.25,6634.759766,7315.540039,4200880128.0,12.5,2485.2033,337.9639893,340.9119873,329.8129883,333.3569946,722665984.0
2017-11-16,7323.240234,7967.379883,7176.580078,7871.689941,5123809792.0,12.5,2501.2206,333.4429932,336.1589966,323.6059875,330.9240112,797254016.0
2017-11-17,7853.569824,8004.589844,7561.089844,7708.990234,4651670016.0,12.5,2416.2352,330.1669922,334.9639893,327.5230103,332.3940125,621732992.0
2017-11-18,7697.209961,7884.990234,7463.439941,7790.149902,3667190016.0,12.5,2352.3087,331.980011,349.6159973,327.6870117,347.6119995,649638976.0
2017-11-19,7766.029785,8101.910156,7694.100098,8036.490234,3149319936.0,12.5,2181.3189,347.401001,371.2909851,344.7399902,354.3859863,1181529984.0
2017-11-20,8039.069824,8336.860352,7949.359863,8200.639648,3488450048.0,12.5,2045.5807,354.0939941,372.1369934,353.2890015,366.730011,807027008.0
2017-11-21,8205.740234,8348.660156,7762.709961,8071.259766,4277609984.0,12.5,1925.4859,367.4429932,372.4700012,350.6929932,360.401001,949912000.0
2017-11-22,8077.950195,8302.259766,8075.470215,8253.549805,3633530112.0,12.5,1909.9503,360.3120117,381.4200134,360.1470032,380.6520081,800819008.0
2017-11-23,8232.379883,8267.400391,8038.77002,8038.77002,4225179904.0,12.5,1901.6449,381.4389954,425.5480042,376.0880127,410.1659851,1845680000.0
2017-11-24,8074.02002,8374.160156,7940.930176,8253.69043,5058610176.0,12.5,1976.7693,412.5010071,480.9729919,402.7579956,474.9110107,2292829952.0
2017-11-25,8241.709961,8790.919922,8191.149902,8790.919922,4342060032.0,12.5,2040.3318,475.6759949,485.1919861,461.053009,466.276001,1422080000.0
2017-11-26,8789.040039,9522.929688,8775.589844,9330.549805,5475579904.0,12.5,2130.2092,465.973999,472.7229919,451.6059875,471.3299866,1197779968.0
2017-11-27,9352.719727,9818.349609,9352.719727,9818.349609,5653320192.0,12.5,2136.9244,471.5310059,493.4049988,468.4849854,480.355011,1396480000.0
2017-11-28,9823.429688,10125.7002,9736.299805,10058.7998,6348819968.0,12.5,2170.5218,480.5180054,482.480011,466.3469849,472.9020081,1346499968.0
2017-11-29,10077.40039,11517.40039,9601.030273,9888.610352,11568799744.0,12.5,2188.6683,473.2810059,522.3070068,425.0710144,427.5230103,2675940096.0
2017-11-30,9906.790039,10801.0,9202.049805,10233.59961,8310689792.0,12.5,2212.9729,431.2149963,465.4970093,401.2430115,447.1140137,1903040000.0
2017-12-01,10198.59961,11046.7002,9694.650391,10975.59961,6783119872.0,12.5,2161.1686,445.2090149,472.6090088,428.3120117,466.5400085,1247879936.0
2017-12-02,10978.2998,11320.2002,10905.09961,11074.59961,5138500096.0,12.5,2140.6145,466.8510132,476.2390137,456.6530151,463.4490051,943649984.0
2017-12-03,11082.7002,11858.7002,10862.0,11323.2002,6608309760.0,12.5,2090.0299,463.7049866,482.8139954,451.8519897,465.8529968,990556992.0
2017-12-04,11315.40039,11657.2002,11081.7998,11657.2002,6132409856.0,12.5,2089.7531,466.0539856,474.7770081,453.3120117,470.20401,1005550016.0
2017-12-05,11685.7002,12032.0,11604.59961,11916.7002,6895260160.0,12.5,2066.0924,470.2940063,473.5580139,457.6600037,463.2810059,1216720000.0
2017-12-06,11923.40039,14369.09961,11923.40039,14291.5,12656300032.0,12.5,2068.513,462.6040039,462.7080078,420.2099915,428.5880127,1998259968.0
2017-12-07,14266.09961,17899.69922,14057.2998,17899.69922,17950699520.0,12.5,2062.6176,426.368988,441.3970032,414.4110107,434.4079895,2129570048.0
2017-12-08,17802.90039,18353.40039,14336.90039,16569.40039,21135998976.0,12.5,2068.9322,434.9890137,466.0620117,422.3670044,456.0310059,2336379904.0
2017-12-09,16523.30078,16783.0,13674.90039,15178.2002,13911300096.0,12.5,2127.3138,457.3439941,504.1470032,456.2529907,473.5020142,2003849984.0
2017-12-10,15168.40039,15850.59961,13226.59961,15455.40039,13433299968.0,12.5,2201.1187,472.7890015,472.7890015,429.5140076,441.7210083,1404179968.0
2017-12-11,15427.40039,17513.90039,15404.7998,16936.80078,12153900032.0,12.5,2232.4973,440.3580017,516.9689941,439.1040039,515.1359863,1771440000.0
2017-12-12,16919.80078,17781.80078,16571.59961,17415.40039,14603799552.0,12.5,2328.0055,522.2860107,657.3179932,504.493988,651.4310303,5179829760.0
2017-12-13,17500.0,17653.09961,16039.7002,16408.19922,12976900096.0,12.5,2443.6564,644.9060059,747.992981,597.7979736,702.7670288,4524539904.0
2017-12-14,16384.59961,17085.80078,16185.90039,16564.0,13777399808.0,12.5,2601.8952,700.5939941,753.1209717,664.9890137,695.815979,3821580032.0
2017-12-15,16601.30078,18154.09961,16601.30078,17706.90039,14309999616.0,12.5,2739.8209,696.3759766,697.132019,621.0609741,684.447998,2758710016.0
2017-12-16,17760.30078,19716.69922,17515.30078,19497.40039,12740599808.0,12.5,2821.7059,686.1920166,718.3850098,680.7860107,696.2089844,2165690112.0
2017-12-17,19475.80078,20089.0,18974.09961,19140.80078,13314599936.0,12.5,2970.0251,696.2369995,735.8250122,696.2369995,719.9749756,2147389952.0
2017-12-18,19106.40039,19371.0,18355.90039,19114.19922,14839499776.0,12.5,3124.2583,721.7319946,803.9279785,689.2310181,794.6450195,3249230080.0
2017-12-19,19118.30078,19177.80078,17275.40039,17776.69922,16894499840.0,12.5,3200.7602,793.901001,881.9439697,785.34198,826.822998,4096549888.0
2017-12-20,17760.30078,17934.69922,16077.7002,16624.59961,22149699584.0,12.5,3287.8023,827.5159912,845.0620117,756.0040283,819.0859985,3969939968.0
2017-12-21,16642.40039,17567.69922,15342.7002,15802.90039,16516599808.0,12.5,3432.6685,820.2360229,880.5430298,792.6890259,821.0629883,3569060096.0
2017-12-22,15898.0,15943.40039,11833.0,13831.7998,22197999616.0,12.5,3646.986,822.6430054,827.6829834,543.7620239,674.8599854,4977710080.0
2017-12-23,13948.7002,15603.2002,13828.7998,14699.2002,13086000128.0,12.5,3844.2634,681.315979,763.8950195,679.7310181,719.3870239,2480339968.0
2017-12-24,14608.2002,14626.0,12747.7002,13925.7998,11572299776.0,12.5,3898.2801,721.7689819,721.7689819,614.9219971,694.1480103,2300549888.0
2017-12-25,13995.90039,14593.0,13448.90039,14026.59961,10664699904.0,12.5,4018.2293,698.8699951,782.5209961,698.8699951,765.8339844,2491760128.0
2017-12-26,14036.59961,16461.19922,14028.90039,16099.7998,13454300160.0,12.5,4136.5331,763.3699951,786.789978,760.9349976,773.8359985,2201159936.0
2017-12-27,16163.5,16930.90039,15114.2998,15838.5,12487600128.0,12.5,4290.143,774.9699707,789.2529907,738.4130249,762.84198,2100029952.0
2017-12-28,15864.09961,15888.40039,13937.2998,14606.5,12336499712.0,12.5,4235.3327,762.2080078,763.3189697,701.1870117,737.0230103,2389149952.0
2017-12-29,14695.7998,15279.0,14307.0,14656.2002,13025500160.0,12.5,4130.7516,740.3889771,770.1170044,729.6079712,753.59198,2648969984.0
2017-12-30,14681.90039,14681.90039,12350.09961,12952.2002,14452599808.0,12.5,4066.1132,753.8150024,753.8150024,685.2310181,717.257019,3187780096.0
2017-12-31,12897.7002,14377.40039,12755.59961,14156.40039,12136299520.0,12.5,4029.7471,712.2119751,760.3480225,710.1190186,756.7329712,2554269952.0
2018-01-01,12897.7002,14377.40039,12755.59961,14156.40039,12136299520.0,12.5,4013.5617,712.2119751,760.3480225,710.1190186,756.7329712,2554269952.0
2018-01-02,12897.7002,14377.40039,12755.59961,14156.40039,12136299520.0,12.5,3991.4408,712.2119751,760.3480225,710.1190186,756.7329712,2554269952.0
2018-01-03,12897.7002,14377.40039,12755.59961,14156.40039,12136299520.0,12.5,3949.2197,712.2119751,760.3480225,710.1190186,756.7329712,2554269952.0
2018-01-04,12897.7002,14377.40039,12755.59961,14156.40039,12136299520.0,12.5,3881.0611,712.2119751,760.3480225,710.1190186,756.7329712,2554269952.0
2018-01-05,12897.7002,14377.40039,12755.59961,14156.40039,12136299520.0,12.5,3890.2889,712.2119751,760.3480225,710.1190186,756.7329712,2554269952.0
2018-01-06,12897.7002,14377.40039,12755.59961,14156.40039,12136299520.0,12.5,3825.0369,712.2119751,760.3480225,710.1190186,756.7329712,2554269952.0
2018-01-07,12897.7002,14377.40039,12755.59961,14156.40039,12136299520.0,12.5,3873.1611,712.2119751,760.3480225,710.1190186,756.7329712,2554269952.0
2018-01-08,12897.7002,14377.40039,12755.59961,14156.40039,12136299520.0,12.5,3763.5593,712.2119751,760.3480225,710.1190186,756.7329712,2554269952.0
2018-01-09,12897.7002,14377.40039,12755.59961,14156.40039,12136299520.0,12.5,3713.9534,712.2119751,760.3480225,710.1190186,756.7329712,2554269952.0
2018-01-10,14588.5,14973.2998,13691.2002,14973.2998,18500800512.0,12.5,3634.8768,1300.339966,1417.380005,1226.599976,1255.819946,9214950400.0
2018-01-11,14968.2002,15018.7998,13105.90039,13405.7998,16534099968.0,12.5,3605.9356,1268.089966,1337.300049,1135.170044,1154.930054,7235899904.0
2018-01-12,13453.90039,14229.90039,13158.09961,13980.59961,12065699840.0,12.5,3541.9377,1158.290039,1296.040039,1120.089966,1273.199951,5222300160.0
2018-01-13,13952.40039,14659.5,13952.40039,14360.2002,12763599872.0,12.5,3444.9467,1270.469971,1432.880005,1270.469971,1396.420044,5746760192.0
2018-01-14,14370.7998,14511.7998,13268.0,13772.0,11084099584.0,12.5,3360.036,1397.47998,1400.560059,1286.209961,1366.77002,4841630208.0
2018-01-15,13767.2998,14445.5,13641.7002,13819.7998,12750799872.0,12.5,3431.3141,1365.209961,1390.589966,1290.599976,1291.920044,4781100032.0
2018-01-16,13836.09961,13843.09961,10194.90039,11490.5,18853799936.0,12.5,3488.915,1292.630005,1292.630005,875.5449829,1053.689941,8405139968.0
2018-01-17,11431.09961,11678.0,9402.290039,11188.59961,18830600192.0,12.5,3573.3354,1061.339966,1090.22998,780.9219971,1014.25,8545160192.0
2018-01-18,11198.7998,12107.2998,10942.5,11474.90039,15020399616.0,12.5,3636.6182,1016.440002,1100.310059,967.7589722,1036.280029,5938319872.0
2018-01-19,11429.7998,11992.7998,11172.09961,11607.40039,10740400128.0,12.5,3675.9068,1028.819946,1093.219971,1003.710022,1039.099976,4084450048.0
2018-01-20,11656.2002,13103.0,11656.2002,12899.2002,11801700352.0,12.5,3762.325,1044.949951,1167.109985,1044.949951,1155.150024,3975190016.0
2018-01-21,12889.2002,12895.90039,11288.2002,11600.09961,9935179776.0,12.5,3804.4453,1155.680054,1155.680054,1021.5,1049.579956,3378089984.0
2018-01-22,11633.09961,11966.40039,10240.2002,10931.40039,10537400320.0,12.5,3711.364,1055.349976,1089.099976,930.7410278,1003.26001,3810099968.0
2018-01-23,10944.5,11377.59961,10129.7002,10868.40039,9660609536.0,12.5,3608.0477,1004.169983,1023.22998,920.539978,986.2290039,3556699904.0
2018-01-24,10903.40039,11501.40039,10639.7998,11359.40039,9940989952.0,12.5,3547.0261,987.4769897,1062.439941,965.8079834,1058.780029,3944039936.0
2018-01-25,11421.7002,11785.7002,11057.40039,11259.40039,8873169920.0,12.5,3472.3977,1063.219971,1104.660034,1034.73999,1056.030029,4050190080.0
2018-01-26,11256.0,11656.7002,10470.2998,11171.40039,9746199552.0,12.5,3429.8263,1052.699951,1080.599976,996.7839966,1055.170044,3617690112.0
2018-01-27,11174.90039,11614.90039,10989.2002,11440.7002,7583269888.0,12.5,3466.1735,1055.75,1121.97998,1042.119995,1107.069946,3002870016.0
2018-01-28,11475.2998,12040.2998,11475.2998,11786.2998,8350360064.0,12.5,3502.4927,1111.780029,1257.77002,1111.780029,1246.01001,5372329984.0
2018-01-29,11755.5,11875.59961,11179.2002,11296.40039,7107359744.0,12.5,3571.274,1246.699951,1256.699951,1169.079956,1182.359985,3715079936.0
2018-01-30,11306.7998,11307.2002,10036.2002,10106.2998,8637859840.0,12.5,3665.351,1184.130005,1184.630005,1058.969971,1071.130005,4107859968.0
2018-01-31,10108.2002,10381.59961,9777.419922,10221.09961,8041160192.0,12.5,3738.0175,1071.089966,1128.660034,1034.5,1118.310059,3757560064.0
2018-02-01,10237.2998,10288.7998,8812.280273,9170.540039,9959400448.0,12.5,3795.2239,1119.369995,1161.349976,984.8189697,1036.790039,5261680128.0
2018-02-02,9142.280273,9142.280273,7796.490234,8830.75,12726899712.0,12.5,4009.3552,1035.77002,1035.77002,757.9799805,915.7849731,6713290240.0
2018-02-03,8852.120117,9430.75,8251.629883,9174.910156,7263790080.0,12.5,4005.2437,919.2109985,991.9429932,847.6900024,964.0189819,3243480064.0
2018-02-04,9175.700195,9334.870117,8031.220215,8277.009766,7073549824.0,12.5,3955.9558,964.6669922,969.0319824,805.0640259,834.6820068,2997090048.0
2018-02-05,8270.540039,8364.839844,6756.680176,6955.27002,9285289984.0,12.5,3945.8859,834.9580078,856.6459961,644.598999,697.9509888,4269530112.0
2018-02-06,7051.75,7850.700195,6048.259766,7754.0,13999800320.0,12.5,3875.0914,707.7369995,796.4390259,574.4190063,793.1220093,6518269952.0
2018-02-07,7755.490234,8509.110352,7236.790039,7621.299805,9169280000.0,12.5,3761.7828,790.4279785,851.2000122,723.4329834,757.0679932,3896179968.0
2018-02-08,7637.859863,8558.769531,7637.859863,8265.589844,9346750464.0,12.5,3755.499,755.8430176,845.0859985,755.8430176,817.8070068,3708189952.0
2018-02-09,8271.839844,8736.980469,7884.709961,8736.980469,6784820224.0,12.5,3713.6491,818.4799805,884.0040283,788.8339844,883.8649902,2495820032.0
2018-02-10,8720.080078,9122.549805,8295.469727,8621.900391,7780960256.0,12.5,3836.7045,882.46698,917.4000244,825.5770264,860.414978,2930530048.0
2018-02-11,8616.129883,8616.129883,7931.100098,8129.970215,6122189824.0,12.5,3968.2845,859.2880249,859.2880249,788.2219849,814.6599731,2486650112.0
2018-02-12,8141.430176,8985.919922,8141.430176,8926.570313,6256439808.0,12.5,4032.0478,817.5079956,875.9370117,817.5079956,868.7069702,2243450112.0
2018-02-13,8926.719727,8958.469727,8455.410156,8598.30957,5696719872.0,12.5,4120.0955,869.2930298,870.7089844,828.8369751,845.2579956,2081170048.0
2018-02-14,8599.919922,9518.540039,8599.919922,9494.629883,7909819904.0,12.5,4150.4287,844.2789917,926.4290161,844.2789917,923.5609741,2818370048.0
2018-02-15,9488.320313,10234.7998,9395.580078,10166.40039,9062540288.0,12.5,4123.653,923.7280273,951.947998,911.1110229,936.9760132,2900100096.0
2018-02-16,10135.7002,10324.09961,9824.820313,10233.90039,7296159744.0,12.5,3918.719,934.7860107,950.0050049,917.8480225,944.210022,2369449984.0
2018-02-17,10207.5,11139.5,10149.40039,11112.7002,8660880384.0,12.5,3858.2644,944.7479858,976.5949707,940.7540283,974.1149902,2525720064.0
2018-02-18,11123.40039,11349.7998,10326.0,10551.7998,8744009728.0,12.5,3731.1779,973.348999,982.9329834,915.4450073,923.9210205,2567290112.0
2018-02-19,10552.59961,11273.7998,10513.2002,11225.2998,7652089856.0,12.5,3675.2174,921.6680298,957.7769775,921.5540161,943.8649902,2169019904.0
2018-02-20,11231.7998,11958.5,11231.7998,11403.7002,9926540288.0,12.5,3625.2966,943.5670166,965.2650146,892.9539795,895.3709717,2545260032.0
2018-02-21,11372.2002,11418.5,10479.09961,10690.40039,9405339648.0,12.5,3636.0791,894.1350098,912.375,830.5629883,849.9710083,2531729920.0
2018-02-22,10660.40039,11039.09961,9939.089844,10005.0,8040079872.0,12.5,3709.3665,849.2620239,875.9260254,802.6680298,812.8449707,2150370048.0
2018-02-23,9937.070313,10487.2998,9734.55957,10301.09961,7739500032.0,12.5,3730.9808,811.585022,886.3179932,794.7910156,864.1890259,2334820096.0
2018-02-24,10287.7002,10597.2002,9546.969727,9813.070313,6917929984.0,12.5,3678.1764,861.5930176,879.5310059,818.5499878,840.5150146,1926579968.0
2018-02-25,9796.419922,9923.219727,9407.05957,9664.730469,5706939904.0,12.5,3716.2251,839.4589844,853.1459961,822.3809814,844.8099976,1646960000.0
2018-02-26,9669.429688,10475.0,9501.730469,10366.7002,7287690240.0,12.5,3735.8619,845.2780151,880.3920288,842.3189697,869.3150024,2044480000.0
2018-02-27,10393.90039,10878.5,10246.09961,10725.59961,6966179840.0,12.5,3713.4812,870.3649902,896.2589722,867.0969849,878.2650146,2053980032.0
2018-02-28,10687.2002,11089.7998,10393.09961,10397.90039,6936189952.0,12.5,3790.4069,877.934021,890.1079712,855.1240234,855.1989746,1963980032.0
2018-03-01,10385.0,11052.2998,10352.7002,10951.0,7317279744.0,12.5,3746.6439,856.0120239,880.302002,851.9199829,872.2000122,1868519936.0
2018-03-02,10977.40039,11189.0,10850.09961,11086.40039,7620590080.0,12.5,3812.6677,871.7639771,876.3779907,852.4219971,856.8530273,1894419968.0
2018-03-03,11101.90039,11528.2002,11002.40039,11489.7002,6690570240.0,12.5,3769.5302,856.7109985,868.4539795,855.2069702,857.2249756,1699369984.0
2018-03-04,11497.40039,11512.59961,11136.09961,11512.59961,6084149760.0,12.5,3760.2339,856.1859741,867.9500122,840.2800293,866.6779785,1697939968.0
2018-03-05,11532.40039,11704.09961,11443.90039,11573.2998,6468539904.0,12.5,3677.2831,866.8460083,869.9199829,853.5200195,853.684021,1898489984.0
2018-03-06,11500.09961,11500.09961,10694.2998,10779.90039,6832169984.0,12.5,3769.169,853.8170166,853.8170166,809.9310303,816.9509888,1943069952.0
