combo,n_models,weights,annual_return,annual_vol,sharpe,max_drawdown,calmar,hit_rate
MiningCost,1,MiningCost:1.00,0.8823945748102926,0.7310005973414205,1.2209633442899437,-0.8138871553603855,1.0841731178563352,0.4627076705549664
Trend,1,Trend:1.00,0.8056535743375948,0.8945069999424189,1.1034277525072824,-0.9347114364179719,0.8619275885026544,0.5090137857900318
OU,1,OU:1.00,-0.5345626592221244,0.7307084664868917,-0.659647519671719,-0.999995377752523,-0.5345651301144484,0.26970661010957936
ZScore,1,ZScore:1.00,-0.7635035411648657,0.819589790254102,-1.3161286390929692,-0.9999999998671206,-0.7635035412663196,0.35136090491339694
OU+MiningCost,2,OU:0.25; MiningCost:0.75,0.576445179889812,0.4258962218069237,1.2763106315207104,-0.5729128625633653,1.0061655402719398,0.4768469423824673
Trend+MiningCost,2,Trend:0.31; MiningCost:0.69,0.9468379837412462,0.7252916739596001,1.2715677877059943,-0.7925952798672138,1.1946046207843595,0.5061859314245316
MiningCost+ZScore,2,MiningCost:1.00; ZScore:0.00,0.8823896076381186,0.7309966816473837,1.2209624853354415,-0.8138860293411456,1.0841685147887694,0.47932131495228
Trend+ZScore,2,Trend:1.00; ZScore:0.00,0.8056498910360834,0.8945028681419409,1.1034265127523097,-0.9347105117133613,0.8619245006235089,0.5090137857900318
OU+Trend,2,OU:0.00; Trend:1.00,0.8056263450386083,0.8944449931224879,1.1034259955197043,-0.9346967748122744,0.8619119769621664,0.5090137857900318
OU+ZScore,2,OU:1.00; ZScore:0.00,-0.5345633388881613,0.7307082175245889,-0.6596499850164269,-0.9999953778410844,-0.5345658097362848,0.39042064333686816
OU+Trend+MiningCost,3,OU:0.26; Trend:0.19; MiningCost:0.55,0.6012002365493481,0.41631668557130413,1.3339127567584759,-0.5620321577789968,1.0696901026537933,0.5074231177094379
OU+MiningCost+ZScore,3,OU:0.27; MiningCost:0.73; ZScore:0.00,0.5540361803992107,0.4100171269950977,1.2751006864047636,-0.5576368133268157,0.9935430501689371,0.4858607281724991
Trend+MiningCost+ZScore,3,Trend:0.32; MiningCost:0.68; ZScore:0.00,0.9472417755674727,0.7258143977697085,1.271478570003099,-0.7946184440753145,1.1920712168590093,0.5061859314245316
OU+Trend+ZScore,3,OU:0.02; Trend:0.98; ZScore:0.00,0.7913700899878648,0.86628567739703,1.1018416722722417,-0.9277739596354871,0.8529772599985302,0.5090137857900318
OU+Trend+MiningCost+ZScore,4,OU:0.27; Trend:0.18; MiningCost:0.54; ZScore:0.01,0.5755521225316858,0.40058041361017505,1.3304330411190997,-0.5474897281054119,1.051256476579723,0.5074231177094379
